count, time, proximity_num, proximity_id, proximity_duration, proximity_velocity, proximity_theta, proximity_phi, proximity_distance, 
12, 6000,0, 
13, 6500,0, 
14, 7000,0, 
15, 7500,0, 
16, 8000,0, 
17, 8500,0, 
18, 9000,0, 
19, 9500,0, 
20, 10000,0, 
21, 10500,0, 
22, 11000,0, 
23, 11500,0, 
24, 12000,0, 
25, 12500,0, 
26, 13000,0, 
27, 13500,0, 
28, 14000,0, 
29, 14500,0, 
30, 15000,0, 
31, 15500,0, 
32, 16000,0, 
33, 16500,0, 
34, 17000,0, 
35, 17500,0, 
36, 18000,0, 
37, 18500,0, 
38, 19000,0, 
39, 19500,0, 
40, 20000,0, 
41, 20500,0, 
42, 21000,12,308,0.000000,0.000000,-0.296246,0.165239,5.509442,309,0.000000,0.000000,-0.227011,-0.045982,6.952944,310,0.000000,0.000000,-0.560134,0.076534,6.576061,302,1.000000,0.034000,1.871407,0.000000,2.861469,311,0.000000,0.000000,-0.372360,0.138342,6.422605,305,1.000000,0.036000,-1.492345,-0.016676,12.221039,312,0.000000,0.000000,1.247635,0.197213,2.536025,313,0.000000,0.000000,1.140609,-0.085637,9.944421,314,0.000000,0.000000,1.195630,-0.264314,2.571813,315,0.000000,0.000000,-0.038414,-0.047549,8.798209,316,0.000000,0.000000,0.868888,-0.084619,10.355912,317,0.000000,0.000000,-0.287102,0.107682,6.611123, 
43, 21500,0, 
44, 22000,0, 
45, 22500,0, 
46, 23000,0, 
47, 23500,0, 
48, 24000,0, 
49, 24500,0, 
50, 25000,0, 
51, 25500,0, 
52, 26000,0, 
53, 26500,0, 
54, 27000,0, 
55, 27500,0, 
56, 28000,0, 
